Line Name,Station Name,Evening_Train,train_number,train_actual_time,WorkDay,train_hour_24,train_late_by_min
NJ TRANSIT - NEC,New Brunswick,TRUE,3937,1539,workday,15,< 20
NJ TRANSIT - RVL,Union,FALSE,5719,1015,workday,10,< 20
NJ TRANSIT - MBPJ,Hoboken,FALSE,43,828,workday,8,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,6632,1103,workday,11,< 20
NJ TRANSIT - PVL,Secaucus,FALSE,1605,907,workday,9,< 20
NJ TRANSIT - MBPJ,Secaucus,FALSE,1149,902,workday,9,< 20
NJ TRANSIT - MBPJ,Paterson,FALSE,1214,1008,workday,10,< 20
NJ TRANSIT - MBPJ,Otisville,FALSE,52,626,workday,6,< 20
NJ TRANSIT - NEC,Jersey Ave,FALSE,3831,1040,workday,10,< 20
NJ TRANSIT - RVL,Metropark,TRUE,5749,1935,workday,19,< 20
NJ TRANSIT - PVL,Secaucus,FALSE,1620,908,workday,9,< 20
NJ TRANSIT - RVL,Metropark,TRUE,5521,1238,holiday,24,< 20
NJ TRANSIT - NEC,Metropark,TRUE,3959,1832,workday,18,< 20
NJ TRANSIT - RVL,Union,TRUE,5749,1944,workday,19,< 20
NJ TRANSIT - RVL,Roselle Park,TRUE,5450,1921,workday,19,< 20
NJ TRANSIT - MBPJ,Ramsey Route 17,FALSE,46,632,workday,6,< 20
NJ TRANSIT - NEC,Metropark,TRUE,7859,1732,holiday,17,< 20
NJ TRANSIT - NJCL,Newark Airport,TRUE,3270,1840,workday,18,< 20
NJ TRANSIT - NJCL,PSNY,TRUE,3513,1725,workday,17,< 20
NJ TRANSIT - NJCL,Long Branch,TRUE,4343,1426,workday,14,< 20
NJ TRANSIT - NJCL,Elizabeth,TRUE,3243,1312,workday,13,< 20
NJ TRANSIT - ME,Newark Broad St.,FALSE,417,1136,workday,11,< 20
NJ TRANSIT - MOBO,NBS,FALSE,6237,1149,workday,11,< 20
NJ TRANSIT - NJCL,Long Branch,FALSE,3217,754,workday,7,< 20
NJ TRANSIT - ME,PSNY,FALSE,6607,707,workday,7,< 20
NJ TRANSIT - MBPJ,Campbell Hall,TRUE,47,1423,workday,14,< 20
NJ TRANSIT - NEC,Metropark,TRUE,3721,1647,workday,16,< 20
NJ TRANSIT - NJCL,Middletown,TRUE,3272,1850,workday,18,< 20
NJ TRANSIT - NEC,Trenton,TRUE,3850,1344,workday,13,< 20
NJ TRANSIT - RVL,Bridgewater,FALSE,5421,1153,workday,11,< 20
NJ TRANSIT - RVL,Cranford,TRUE,5525,1455,holiday,14,< 20
NJ TRANSIT - MBPJ,Harriman,FALSE,58,1029,workday,10,< 20
NJ TRANSIT - MBPJ,Hoboken,FALSE,1205,833,workday,8,< 20
NJ TRANSIT - ME,Gladstone,FALSE,6410,632,workday,6,< 20
NJ TRANSIT - ME,Short Hills,TRUE,6644,1340,workday,13,< 20
NJ TRANSIT - MBPJ,Waldwick,FALSE,1210,833,workday,8,< 20
NJ TRANSIT - MBPJ,Secaucus,FALSE,54,900,workday,9,< 20
NJ TRANSIT - PVL,Emerson,TRUE,2111,1256,holiday,24,< 20
NJ TRANSIT - MBPJ,Middletown,FALSE,48,603,workday,6,< 20
NJ TRANSIT - RVL,Metropark,TRUE,5445,1833,workday,18,< 20
NJ TRANSIT - ME,Short Hills,TRUE,6643,1722,workday,17,< 20
NJ TRANSIT - NEC,PSNY,FALSE,3831,937,workday,9,< 20
NJ TRANSIT - PVL,Spring Valley,FALSE,1616,737,workday,7,< 20
NJ TRANSIT - RVL,Cranford,TRUE,5523,1355,holiday,13,< 20
NJ TRANSIT - ME,South Orange,FALSE,411,928,workday,9,< 20
NJ TRANSIT - MBPJ,Hoboken,FALSE,43,828,workday,8,< 20
NJ TRANSIT - ME,Secaucus,FALSE,6613,811,workday,8,< 20
NJ TRANSIT - ME,PSNY,FALSE,6621,1046,workday,10,< 20
NJ TRANSIT - ME,Summit,FALSE,481,746,workday,7,< 20
NJ TRANSIT - ME,Far Hills,FALSE,411,1018,workday,10,< 20
NJ TRANSIT - NEC,Edison,FALSE,3714,806,workday,8,< 20
NJ TRANSIT - NEC,New Brunswick,FALSE,3714,801,workday,8,< 20
